Kepler-21 b, 0.01598, 0.146, 6.40, 2411, 2.78578, 0.04272, 1.41, 2.62e+15, 1.38e+04, a
Kepler-41 b, 0.56, 1.29, 0.33, 2126, 1.8555582, 0.03101, 1.15, 4.17e+09, 2.21e-02, a
WASP-76 b, 0.92, 1.83, 0.20, 2595, 1.809886, 0.03300, 1.46, 2.00e+12, 1.06e+01, a
55 Cnc e, 0.02542, 0.17, 6.40, 2325, 0.736539, 0.01544, 0.91, 1.31e+14, 6.91e+02, a
WASP-12 b, 1.47, 1.9, 0.27, 3071, 1.0914203, 0.02340, 1.43, 2.75e+14, 1.45e+03, a
WASP-121 b, 1.183, 1.865, 0.24, 2806, 1.2749255, 0.02544, 1.35, 8.26e+13, 4.36e+02, a
WASP-19 b, 1.069, 1.392, 0.49, 2497, 0.78883899, 0.01634, 0.90, 3.49e+13, 1.84e+02, a
WASP-103 b, 1.49, 1.528, 0.55, 2984, 0.925542, 0.01985, 1.22, 4.95e+10, 2.62e-01, a
CoRoT-24 b, 0.018, 0.33, 0.90, 1112, 5.1134, 0.05600, 0.91, 2.21e+11, 1.17e+00, a
WASP-47 e, 0.02863, 0.162, 8.50, 2618, 0.789636, 0.01730, 1.11, 6.32e+13, 3.34e+02, a
